06:20:33:746 [ALWAYS]	GUDE Logging Started
06:20:33:746 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
06:20:33:746 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
06:20:33:746 [ERROR]	Initialize resume cache pointer failure
06:20:33:746 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
06:20:33:746 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
06:20:34:874 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
06:20:34:874 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
06:20:34:874 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
06:20:34:875 [ERROR]	Initialize resume cache pointer failure
06:20:34:875 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
06:20:34:875 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
